question_id,question,option_a,option_b,option_c,option_d,correct_answer,domain,topic,difficulty_level
DEVOPS_0001,What is the Linux kernel?,A GUI desktop environment,The core component of the OS managing hardware and system resources,A package manager,A text editor,B,DevOps,Linux Fundamentals,7
DEVOPS_0002,Which command displays the current working directory?,ls,pwd,cd,dir,B,DevOps,Linux Fundamentals,2
DEVOPS_0003,Which command lists files in a directory including hidden files?,ls -l,ls -a,ls -r,ls -h,B,DevOps,Linux Fundamentals,4
DEVOPS_0004,Which command clears the terminal screen?,reset,wipe,clear,cls,C,DevOps,Linux Fundamentals,6
DEVOPS_0005,What does the 'sudo' command do?,Switches to root user permanently,Runs a command with superuser privileges,Logs out current user,Encrypts a command,B,DevOps,Linux Fundamentals,4
DEVOPS_0006,Which command shows the Linux kernel version?,version,uname -r,kernel -v,os-info,B,DevOps,Linux Fundamentals,5
DEVOPS_0007,What is the home directory of root in Linux?,/ home/root,/root,/home,/usr/root,B,DevOps,Linux Fundamentals,1
DEVOPS_0008,Which command shows system uptime?,sysinfo,uptime,top,ps,B,DevOps,Linux Fundamentals,7
DEVOPS_0009,What does 'man ls' do?,Lists all man pages,Opens the manual page for 'ls',Runs ls with all options,Shows ls source code,B,DevOps,Linux Fundamentals,4
DEVOPS_0010,Which command renames a file in Linux?,rename,cp,mv,rn,C,DevOps,Linux Fundamentals,5
DEVOPS_0011,What does 'echo $HOME' print?,The word HOME,The home directory path of the current user,The hostname,The shell type,B,DevOps,Linux Fundamentals,0
DEVOPS_0012,Which command creates a new directory?,touch,newdir,mkdir,md,C,DevOps,Linux Fundamentals,9
DEVOPS_0013,What does 'rm -rf' do?,Removes read-only files,Recursively force-removes a directory and all contents,Resets file permissions,Renames a folder,B,DevOps,Linux Fundamentals,1
DEVOPS_0014,Which file contains information about the OS distribution?,/ etc/os-version,/etc/os-release,/proc/os,/var/os-info,B,DevOps,Linux Fundamentals,10
DEVOPS_0015,Which command copies a file in Linux?,mv,copy,cp,dup,C,DevOps,Linux Fundamentals,3
DEVOPS_0016,What is the purpose of the /etc directory?,Temporary files,System configuration files,User home directories,Executable binaries,B,DevOps,Linux Fundamentals,10
DEVOPS_0017,What is stored in /var/log?,User log-ins only,System and application log files,Virtual memory,Package sources,B,DevOps,Linux Fundamentals,8
DEVOPS_0018,Which command shows disk usage of a directory?,df,du,ls -s,stat,B,DevOps,Linux Fundamentals,5
DEVOPS_0019,Which command shows disk space of mounted filesystems?,du -h,df -h,lsblk,mount,B,DevOps,Linux Fundamentals,7
DEVOPS_0020,What does 'find / -name config.yml' do?,Searches /config.yml,Finds all files named config.yml starting from root,Lists yml files in /,Edits config.yml,B,DevOps,Linux Fundamentals,1
DEVOPS_0021,Which command creates an empty file?,new,mkfile,touch,create,C,DevOps,Linux Fundamentals,9
DEVOPS_0022,What is the purpose of /tmp in Linux?,Temporary files cleared on reboot,Trash bin,User templates,Thumbnails,A,DevOps,Linux Fundamentals,4
DEVOPS_0023,Which command views the last 10 lines of a file?,head,cat,tail,less,C,DevOps,Linux Fundamentals,0
DEVOPS_0024,Which command views the first 5 lines of a file?,tail -5,head -5,less -5,top -5,B,DevOps,Linux Fundamentals,3
