question_id,question,option_a,option_b,option_c,option_d,correct_answer,domain,topic,difficulty_level
AP_0001,Which of the following numbers is both a perfect square and a perfect cube?,27,64,36,16,B,Aptitude,Quantitative Aptitude,8
AP_0002,"What is the place value of digit 7 in the number 3,74,512?",7000,70000,700,700000,B,Aptitude,Quantitative Aptitude,2
AP_0003,How many prime numbers exist between 10 and 30?,4,5,6,3,B,Aptitude,Quantitative Aptitude,10
AP_0004,Which of the following is a composite number?,1,17,19,21,D,Aptitude,Quantitative Aptitude,1
AP_0005,What is the sum of all natural numbers from 1 to 20?,200,210,190,220,B,Aptitude,Quantitative Aptitude,3
AP_0006,The number 1 is classified as which type of number?,Prime,Composite,Neither prime nor composite,Both prime and composite,C,Aptitude,Quantitative Aptitude,1
AP_0007,What is the successor of the largest 3-digit number?,999,1001,1000,998,C,Aptitude,Quantitative Aptitude,0
AP_0008,Which of the following represents the number 5038 in expanded form?,5000 + 30 + 8,5000 + 300 + 8,5000 + 038,500 + 300 + 8,A,Aptitude,Quantitative Aptitude,2
AP_0009,"What is the difference between the face value and place value of 6 in 5,60,231?",59994,60000,6,59940,A,Aptitude,Quantitative Aptitude,6
AP_0010,Which number is the smallest prime number?,0,1,2,3,C,Aptitude,Quantitative Aptitude,0
AP_0011,How many factors does the number 36 have?,6,7,8,9,D,Aptitude,Quantitative Aptitude,1
AP_0012,What is 3^4 equal to?,64,81,72,27,B,Aptitude,Quantitative Aptitude,0
AP_0013,Which of the following is a rational number?,Ã¢Ë†Å¡2,Ã¢Ë†Å¡3,Ã¢Ë†Å¡4,Ã¢Ë†Å¡5,C,Aptitude,Quantitative Aptitude,7
AP_0014,The product of two consecutive even numbers is 168. What are those numbers?,12 and 14,10 and 12,14 and 16,8 and 10,A,Aptitude,Quantitative Aptitude,4
AP_0015,What is the unit digit of 7^4?,7,3,1,9,C,Aptitude,Quantitative Aptitude,7
AP_0016,Which of the following sets contains only odd numbers?,"1, 3, 5, 7","2, 4, 6, 8","1, 2, 3, 4","3, 6, 9, 12",A,Aptitude,Quantitative Aptitude,2
AP_0017,What is the square root of 225?,13,14,15,16,C,Aptitude,Quantitative Aptitude,6
AP_0018,How many two-digit prime numbers are there?,20,21,22,23,B,Aptitude,Quantitative Aptitude,7
AP_0019,What is the value of 0! (zero factorial)?,0,1,Undefined,Infinite,B,Aptitude,Quantitative Aptitude,5
AP_0020,Which of the following is NOT a factor of 48?,6,8,9,12,C,Aptitude,Quantitative Aptitude,6
AP_0021,What is the sum of the first five prime numbers?,26,27,28,29,C,Aptitude,Quantitative Aptitude,1
AP_0022,"If a number is divisible by 9, which property must it also have?",Divisible by 3,Divisible by 6,Divisible by 18,Divisible by 27,A,Aptitude,Quantitative Aptitude,7
AP_0023,What is the cube root of 512?,6,7,8,9,C,Aptitude,Quantitative Aptitude,4
AP_0024,"A number when divided by 6 leaves remainder 4. When the same number is divided by 3, what is the remainder?",0,1,2,3,B,Aptitude,Quantitative Aptitude,6
AP_0025,What is the total count of integers from -5 to 5 inclusive?,9,10,11,12,C,Aptitude,Quantitative Aptitude,0
AP_0026,Which of the following is an irrational number?,0.75,Ã¢Ë†Å¡9,Ã¢Ë†Å¡7,22-Jul,C,Aptitude,Quantitative Aptitude,4
AP_0027,The number 2^10 equals which of the following?,512,1024,2048,256,B,Aptitude,Quantitative Aptitude,0
AP_0028,What is the remainder when 100 is divided by 7?,1,2,3,4,B,Aptitude,Quantitative Aptitude,7
AP_0029,A number is divisible by 4 if:,The sum of its digits is divisible by 4,Its last digit is 0 or 4,The last two digits form a number divisible by 4,The number is even,C,Aptitude,Quantitative Aptitude,3
AP_0030,Which of the following numbers is divisible by 11?,121,132,143,All of the above,D,Aptitude,Quantitative Aptitude,3
AP_0031,What is the divisibility rule for 3?,Last digit divisible by 3,Sum of all digits divisible by 3,Last two digits divisible by 3,Number ends in 0 or 3,B,Aptitude,Quantitative Aptitude,1
AP_0032,Which of the following is divisible by 8?,3124,3136,3142,3148,B,Aptitude,Quantitative Aptitude,4
AP_0033,"Is 7,892,346 divisible by 6? Why?","Yes, it ends in an even number","Yes, it is divisible by both 2 and 3","No, its digit sum is not divisible by 3","No, it is not divisible by 2",B,Aptitude,Quantitative Aptitude,0
AP_0034,A number is divisible by 9 when:,The last digit is 9,The sum of all its digits is divisible by 9,It is divisible by 3 twice,Both B and C are correct,D,Aptitude,Quantitative Aptitude,8
AP_0035,Which number is divisible by 7?,343,344,345,346,A,Aptitude,Quantitative Aptitude,4
AP_0036,"For a number to be divisible by 12, it must be divisible by:",3 and 6,4 and 3,6 and 2,4 and 6,B,Aptitude,Quantitative Aptitude,5
AP_0037,Which of the following is divisible by 25?,8325,8350,8375,All of the above,D,Aptitude,Quantitative Aptitude,1
AP_0038,What digit can replace * in 4*2 to make it divisible by 9?,3,5,7,9,C,Aptitude,Quantitative Aptitude,9
AP_0039,A number ending in how many zeros is always divisible by 1000?,One,Two,Three,Four,C,Aptitude,Quantitative Aptitude,9
AP_0040,Which is the divisibility rule for 11?,Sum of digits divisible by 11,Alternating sum (odd position minus even position digits) divisible by 11,Last two digits divisible by 11,None of these,B,Aptitude,Quantitative Aptitude,0
AP_0041,Is 1001 divisible by 11?,No,Yes,Only if divided by 7 first,Cannot determine,B,Aptitude,Quantitative Aptitude,3
AP_0042,Which rule determines if a large number is divisible by 5?,Sum of digits ends in 5,Last digit is 0 or 5,Number is odd,Number has exactly 5 factors,B,Aptitude,Quantitative Aptitude,6
