question_id,question,option_a,option_b,option_c,option_d,correct_answer,domain,topic,difficulty_level
FS_0001,What does HTML stand for?,HyperText Markup Language,HighText Machine Language,HyperText and links Markup Language,HyperTool Markup Language,A,Full Stack MERN,HTML Basics,9
FS_0002,Which HTML element defines the root of an HTML document?,<head>,<body>,<html>,<root>,C,Full Stack MERN,HTML Basics,0
FS_0003,Which attribute is used to provide a unique identifier to an HTML element?,class,name,id,key,C,Full Stack MERN,HTML Basics,2
FS_0004,What is the correct file extension for an HTML file?,.htm only,.html only,.hml,.htm or .html,D,Full Stack MERN,HTML Basics,8
FS_0005,Which tag is used to define metadata about an HTML document?,<meta>,<data>,<info>,<head>,A,Full Stack MERN,HTML Basics,0
FS_0006,Which HTML tag is used to create a hyperlink?,<a>,<link>,<href>,<nav>,A,Full Stack MERN,HTML Basics,7
FS_0007,What does the <!DOCTYPE html> declaration do?,Defines character set,Tells the browser the HTML version,Links CSS file,Starts the HTML body,B,Full Stack MERN,HTML Basics,1
FS_0008,Which attribute on <a> tag opens the link in a new browser tab?,target='_blank',href='new',rel='noopener',open='tab',A,Full Stack MERN,HTML Basics,5
FS_0009,What is the purpose of the <title> tag?,Displays text in the page body,Sets the browser tab/window title,Creates a heading,Defines page metadata,B,Full Stack MERN,HTML Basics,2
FS_0010,Which element is used to embed JavaScript in an HTML page?,<js>,<code>,<script>,<embed>,C,Full Stack MERN,HTML Basics,6
FS_0011,Which tag represents the largest heading in HTML?,<h6>,<h1>,<heading>,<big>,B,Full Stack MERN,HTML Basics,1
FS_0012,What is a self-closing (void) HTML element?,An element with no children or closing tag,An element that closes itself with <//>,An element inside <head>,An element without attributes,A,Full Stack MERN,HTML Basics,3
FS_0013,Which of the following is a block-level element?,<span>,<a>,<div>,<strong>,C,Full Stack MERN,HTML Basics,9
FS_0014,What does the <br> tag do?,Bold text,Line break,Create border,Break a word,B,Full Stack MERN,HTML Basics,8
FS_0015,Which tag is used to display preformatted text?,<code>,<pre>,<text>,<p>,B,Full Stack MERN,HTML Basics,5
FS_0016,What is the correct HTML tag for inserting a horizontal rule?,<line>,<rule>,<hr>,<border>,C,Full Stack MERN,HTML Basics,3
FS_0017,Which tag makes text bold without implying importance?,<strong>,<em>,<b>,<i>,C,Full Stack MERN,HTML Basics,1
FS_0018,What does the <em> tag represent?,Error message,Email link,Emphasized (italic) text,Embedded content,C,Full Stack MERN,HTML Basics,9
FS_0019,Which attribute specifies alternate text for an image if it cannot be displayed?,title,src,alt,name,C,Full Stack MERN,HTML Basics,8
FS_0020,What is the purpose of the <span> element?,Block-level container,Inline container for styling,Creates a new section,Embeds media,B,Full Stack MERN,HTML Basics,3
FS_0021,Which HTML tag is used to create an unordered list?,<ol>,<li>,<ul>,<list>,C,Full Stack MERN,HTML Basics,8
FS_0022,Which tag is used to create each item in an HTML list?,<item>,<li>,<listitem>,<it>,B,Full Stack MERN,HTML Basics,1
